Row,Col,Strain,Color
A,1,W,#fdae6b
A,2,W,#fdae6b
A,3,W,#fdae6b
A,4,W,#fdae6b
A,5,WB,#cccccc
A,6,WB,#cccccc
A,7,WB,#cccccc
A,8,WB,#cccccc
A,9,B,#377eb8
A,10,B,#377eb8
A,11,B,#377eb8
A,12,B,#377eb8
B,1,W,#fdae6b
B,2,W,#fdae6b
B,3,W,#fdae6b
B,4,W,#fdae6b
B,5,WB,#cccccc
B,6,WB,#cccccc
B,7,WB,#cccccc
B,8,WB,#cccccc
B,9,B,#377eb8
B,10,B,#377eb8
B,11,B,#377eb8
B,12,B,#377eb8
C,1,W,#fdae6b
C,2,W,#fdae6b
C,3,W,#fdae6b
C,4,W,#fdae6b
C,5,WB,#cccccc
C,6,WB,#cccccc
C,7,WB,#cccccc
C,8,WB,#cccccc
C,9,B,#377eb8
C,10,B,#377eb8
C,11,B,#377eb8
C,12,B,#377eb8
D,1,W,#fdae6b
D,2,W,#fdae6b
D,3,W,#fdae6b
D,4,W,#fdae6b
D,5,WB,#cccccc
D,6,WB,#cccccc
D,7,WB,#cccccc
D,8,WB,#cccccc
D,9,B,#377eb8
D,10,B,#377eb8
D,11,B,#377eb8
D,12,B,#377eb8
E,1,W,#fdae6b
E,2,W,#fdae6b
E,3,W,#fdae6b
E,4,W,#fdae6b
E,5,B,#377eb8
E,6,B,#377eb8
E,7,B,#377eb8
E,8,B,#377eb8
E,9,WB,#cccccc
E,10,WB,#cccccc
E,11,WB,#cccccc
E,12,WB,#cccccc
F,1,W,#fdae6b
F,2,W,#fdae6b
F,3,W,#fdae6b
F,4,W,#fdae6b
F,5,B,#377eb8
F,6,B,#377eb8
F,7,B,#377eb8
F,8,B,#377eb8
F,9,WB,#cccccc
F,10,WB,#cccccc
F,11,WB,#cccccc
F,12,WB,#cccccc
G,1,W,#fdae6b
G,2,W,#fdae6b
G,3,W,#fdae6b
G,4,W,#fdae6b
G,5,B,#377eb8
G,6,B,#377eb8
G,7,B,#377eb8
G,8,B,#377eb8
G,9,WB,#cccccc
G,10,WB,#cccccc
G,11,WB,#cccccc
G,12,0,#ffffff
H,1,W,#fdae6b
H,2,W,#fdae6b
H,3,W,#fdae6b
H,4,W,#fdae6b
H,5,B,#377eb8
H,6,B,#377eb8
H,7,B,#377eb8
H,8,B,#377eb8
H,9,WB,#cccccc
H,10,WB,#cccccc
H,11,WB,#cccccc
H,12,0,#ffffff
