Row,Col,Strain,Color
A,1,W,#fdae6b
A,2,W,#fdae6b
A,3,W,#fdae6b
A,4,W,#fdae6b
A,5,WB,#cccccc
A,6,WB,#cccccc
A,7,WB,#cccccc
A,8,WB,#cccccc
A,9,B,#377eb8
A,10,B,#377eb8
A,11,B,#377eb8
A,12,B,#377eb8
B,1,W,#fdae6b
B,2,W,#fdae6b
B,3,W,#fdae6b
B,4,W,#fdae6b
B,5,WB,#cccccc
B,6,WB,#cccccc
B,7,WB,#cccccc
B,8,WB,#cccccc
B,9,B,#377eb8
B,10,B,#377eb8
B,11,B,#377eb8
B,12,B,#377eb8
C,1,W,#fdae6b
C,2,W,#fdae6b
C,3,W,#fdae6b
C,4,W,#fdae6b
C,5,WB,#cccccc
C,6,WB,#cccccc
C,7,WB,#cccccc
C,8,WB,#cccccc
C,9,B,#377eb8
C,10,B,#377eb8
C,11,B,#377eb8
C,12,B,#377eb8
D,1,W,#fdae6b
D,2,W,#fdae6b
D,3,W,#fdae6b
D,4,W,#fdae6b
D,5,WB,#cccccc
D,6,WB,#cccccc
D,7,WB,#cccccc
D,8,WB,#cccccc
D,9,B,#377eb8
D,10,B,#377eb8
D,11,B,#377eb8
D,12,B,#377eb8
E,1,W,#fdae6b
E,2,W,#fdae6b
E,3,W,#fdae6b
E,4,W,#fdae6b
E,5,WB,#cccccc
E,6,WB,#cccccc
E,7,WB,#cccccc
E,8,WB,#cccccc
E,9,B,#377eb8
E,10,B,#377eb8
E,11,B,#377eb8
E,12,B,#377eb8
F,1,W,#fdae6b
F,2,W,#fdae6b
F,3,W,#fdae6b
F,4,W,#fdae6b
F,5,WB,#cccccc
F,6,WB,#cccccc
F,7,WB,#cccccc
F,8,WB,#cccccc
F,9,B,#377eb8
F,10,B,#377eb8
F,11,B,#377eb8
F,12,B,#377eb8
G,1,W,#fdae6b
G,2,W,#fdae6b
G,3,W,#fdae6b
G,4,W,#fdae6b
G,5,WB,#cccccc
G,6,WB,#cccccc
G,7,WB,#cccccc
G,8,WB,#cccccc
G,9,B,#377eb8
G,10,B,#377eb8
G,11,B,#377eb8
G,12,0,#ffffff
H,1,W,#fdae6b
H,2,W,#fdae6b
H,3,W,#fdae6b
H,4,W,#fdae6b
H,5,WB,#cccccc
H,6,WB,#cccccc
H,7,WB,#cccccc
H,8,WB,#cccccc
H,9,B,#377eb8
H,10,B,#377eb8
H,11,B,#377eb8
H,12,0,#ffffff
